title_original,ingredients_final,category,title_cleaned,steps_cleaned
Gulai kambing,"daging kambing, santan, bawang merah, bawang putih, cabai merah, lada, ketumbar, kemiri, jahe, kunyit, cabai rawit, lengkuas, serai, daun salam, daun jeruk, garam, kaldu bubuk",kambing,Gulai Kambing,"Rebus daging kambing sampai lembut. Sembari menunggu, haluskan bawang merah, bawang putih, cabai merah, cabai rawit, lada, kemiri, ketumbar, kunyit, jahe. Buang air rebusan daging setelah empuk. Tumis bumbu halus bersama lengkuas, serai, daun salam, dan daun jeruk hingga harum. Kemudian, masukkan santan dan daging kambing. Tambahkan garam dan kaldu bubuk, lalu tes rasa."
Nasi Goreng Kambing Extra Pedas,"daging kambing, telur, nasi, cabai rawit, bawang merah, bawang putih, daun bawang, garam, lada, penyedap rasa, kecap manis, minyak",kambing,Nasi Goreng Kambing,"Panaskan minyak kemudian tumis bawang merah dan bawang putih hingga harum, lalu masukkan telur dan orak-arik. Masukkan daging kambing, cabai rawit, dan daun bawang, aduk, beri garam. Masukkan nasi, kecap manis, penyedap rasa, lada, dan garam, aduk hingga matang merata, lalu koreksi rasa."
Dendeng balado (daging kambing),"daging kambing, kentang, asam jawa, gula jawa, air, garam, daging sapi, jahe, bawang putih, ketumbar, sambal, cabai merah, bawang merah, tomat",kambing,Dendeng Balado Daging Kambing,"Haluskan bumbu daging kemudian tumis hingga harum, tambahkan air 1 liter, lalu masukkan daging kambing, ungkap 45 menit sampai air menyusut dan tinggal sedikit. Campur semua bahan sambal, lalu haluskan dengan cara dipecah saja jangan digiling halus. Goreng kentang yang telah diiris. Angkat daging yang telah diungkap, potong sesuai selera, lalu haluskan hingga daging pipih. Kemudian goreng sebentar, jika suka dagingnya agak garing bisa digoreng agak lama. Tumis bahan sambal, tambahkan gula jawa, air asam jawa dan garam, tumis hingga cabai matang, masukkan kentang dan daging yang telah digoreng, aduk sebentar, angkat dan hidangkan dengan nasi."
Soup Kambing No MSG,"tulang kambing, bawang merah, bawang putih, lada, pala, jahe, kayu manis, daun bawang, seledri, tomat, wortel, kol, garam, gula, penyedap rasa, air, minyak goreng, bawang goreng",kambing,Sup Kambing,"Haluskan bawang merah, bawang putih, lada, dan pala kemudian tumis bersama jahe dan kayu manis hingga harum. Setelah itu, masukkan air kaldu rebusan tulang kambing beserta tulang kambing dan tomat. Tambahkan wortel dan kol, masak hingga matang. Bumbui dengan garam dan gula, lalu tambahkan daun bawang dan seledri. Sajikan dengan taburan bawang goreng dan minyak goreng."
Daging kambing saos teriyaki,"daging kambing, air, bawang putih, garam, minyak goreng, bawang merah, saus teriyaki, kecap manis, ketumbar, jagung, capsicum, nanas",kambing,Daging Kambing Saos Teriyaki,"Rebus daging kambing dalam pressure cooker selama 20 menit, diamkan hingga dingin, kemudian iris. Siapkan nanas dan tumis bawang putih, bawang merah, ketumbar, dan garam dengan minyak goreng hingga harum. Masukkan kecap manis dan saus teriyaki, aduk rata, lalu masukkan daging kambing, capsicum, nanas, dan jagung. Tambahkan sedikit air jika perlu, tes rasa, dan masak hingga matang."
Resep Simpel Sate Kambing,"daging kambing, ketumbar, kecap manis, bawang merah, bawang putih, garam, jeruk nipis, lada",kambing,Sate Kambing,"Cuci bersih daging kambing dan potong dadu kemudian haluskan ketumbar dan garam. Campurkan daging kambing dengan ketumbar, garam, dan perasan jeruk nipis lalu diamkan hingga meresap. Tusuk daging pada tusuk sate, setiap tusukan berisi 4-5 potong daging. Sambil menunggu arang pemanggangan siap, campurkan kecap manis, air, dan lada bubuk untuk membuat bumbu olesan. Panggang sate hingga setengah matang, angkat dan olesi dengan bumbu kemudian panggang lagi hingga matang. Ulangi pemanggangan jika menginginkan sate yang lebih garing. Sajikan sate dengan taburan irisan bawang merah."
Sate Sapi dan kambing,"daging sapi, daging kambing, sate, jintan, lada, ketumbar, bawang putih, garam, sambal, cabai merah, bawang merah, kecap manis, jeruk nipis, minyak goreng, jahe",kambing,Sate Sapi dan Kambing,"Cuci daging sapi, potong dan tusuk, kemudian lumuri dengan bumbu halus yang dicampur minyak goreng. Potong daging kambing dan tusuk, lalu lumuri dengan bumbu halus yang dicampur minyak goreng. Iris cabai merah dan bawang merah, campurkan dengan tomat dan kecap manis. Bakar sate hingga matang, angkat dan sajikan dengan sambal cabai."
Tongseng kambing,"daging kambing, santan, kecap manis, kol, tomat, daun bawang, daun jeruk, daun salam, serai, bawang merah, bawang putih, kemiri, jintan, ketumbar, kari, kunyit, jahe, pala, kayu manis, lada, kaldu, gula merah, gula, cabai rawit",kambing,Tongseng Kambing,"Haluskan bawang merah, bawang putih, kemiri, jintan, ketumbar, kari, kunyit, jahe, pala, dan kayu manis kemudian tumis bersama serai, daun salam, dan daun jeruk hingga harum. Setelah itu, masukkan daging kambing dan aduk rata. Tuang santan dan masak hingga mendidih, lalu masukkan kol dan tomat serta kecap manis. Tambahkan cabai rawit, gula merah, gula, kaldu, dan lada, aduk rata dan koreksi rasa. Hidangkan dengan taburan daun bawang."
Sate kambing bumbu kacang,"daging kambing, kacang tanah, bawang putih, bawang merah, kemiri, cabai rawit, garam, minyak goreng, kecap manis",kambing,Sate Kambing Bumbu Kacang,"Haluskan kacang tanah, bawang putih, bawang merah, kemiri, dan cabai rawit kemudian tambahkan air matang dan kecap manis lalu sisihkan. Iris bawang merah dan campurkan ke dalam bumbu kacang. Tambahkan minyak goreng dan kecap manis ke sebagian bumbu kacang untuk olesan. Potong daging kambing menjadi kotak lalu tusuk daging tersebut. Oleskan bumbu pada daging kambing dan bakar hingga matang. Sate siap disajikan bersama bumbu kacang."
Gulai Kambing Gurriih khas Solo..By:Erni Hartanti.Amd:-),"daging kambing, air, cabai merah, ketumbar, jintan, kelabet, kapulaga, bawang putih, bawang merah, jahe, lengkuas, kunyit, pala, cengkeh, minyak goreng, bawang bombay, daun jeruk, daun salam, serai, kayu manis, santan, penyedap rasa",kambing,Gulai Kambing Khas Solo,"Haluskan cabai merah, ketumbar, jintan, kelabet, kapulaga, bawang putih, bawang merah, jahe, lengkuas, kunyit, dan pala kemudian tumis bersama bawang bombay, daun jeruk, daun salam, dan serai hingga harum. Setelah itu, masukkan ke dalam panci berisi daging kambing dan air, tambahkan kayu manis, masak hingga mendidih. Tuang santan, aduk rata, tambahkan gula pasir 3 sdt dan garam kasar 2 sdt, masak hingga matang."
Tongseng Kambing,"daging kambing, santan, kol, cengkeh, tomat, serai, lengkuas, daun jeruk, lada, kapulaga, kecap manis, minyak goreng, bawang merah, bawang putih, kunyit, kemiri, ketumbar, jintan, daun bawang, garam",kambing,Tongseng Kambing,"Haluskan bawang merah, bawang putih, kunyit, kemiri, ketumbar, dan jintan kemudian tumis bersama serai, lengkuas, daun jeruk, kapulaga, dan cengkeh hingga harum. Masukkan daging kambing, garam, dan lada lalu aduk hingga berubah warna. Tuangkan santan dan masak hingga mendidih. Tambahkan kecap manis dan masak hingga kuah mengental. Setelah itu, masukkan kol, tomat, dan daun bawang lalu masak sebentar hingga kol layu."
Krewedan Kambing,"daging sapi, garam, jeruk, bawang merah, cabai rawit, cabai hijau, cabai merah, daun salam, daun jeruk, kecap manis, lada, gula merah, air, minyak goreng",kambing,Krewedan Kambing,"Lumuri daging sapi dengan air jeruk dan garam, diamkan selama 30 menit. Panaskan minyak goreng, kemudian masukkan daging sapi dan aduk hingga berubah warna. Setelah itu, masukkan bawang merah dan aduk hingga harum. Lalu, masukkan cabai rawit, cabai hijau, cabai merah, daun salam, dan daun jeruk, aduk hingga tercampur. Tambahkan kecap manis, garam, lada, dan gula merah, tuang air, masak hingga matang dan empuk. Koreksi rasa dan siap dihidangkan."
Kuah marak daging kambing,"daging kambing, tulang, tomat, bawang bombay, kayu manis, cengkeh, air, jahe, kunyit, bawang putih, gula, garam, lada, bawang goreng",kambing,Kuah Marak Daging Kambing,"Masukkan daging kambing dan tulang ke dalam panci, tambahkan air, masak dengan api kecil hingga mendidih dan empuk selama 2 jam. Kemudian masukkan kayu manis, cengkeh, dan tomat yang telah dipotong menjadi 4 bagian ke dalam rebusan daging. Haluskan jahe, kunyit, bawang putih, bawang bombay, lalu tumis bawang bombay hingga layu. Masukkan bumbu halus, tumis hingga harum, tambahkan sedikit air, aduk hingga air menyusut. Masukkan tumisan bumbu ke dalam rebusan daging, aduk rata, tambahkan gula, garam, dan lada. Masak hingga daging empuk, koreksi rasa. Setelah matang, matikan api, sajikan dengan nasi hangat dan taburi bawang goreng."
Rica Kambing Lobak,"daging kambing, lobak, bawang merah, bawang putih, cabai rawit, cabai merah, lada, kunyit, jahe, kemiri, serai, lengkuas, daun salam, garam, gula, tomat, daun jeruk",kambing,Rica Kambing Lobak,"Cuci bersih daging kambing, kemudian rebus dengan menambahkan 2 buah tomat potong dadu. Setelah setengah matang, buang air, tambahkan air kembali dan rebus 5 menit lagi hingga matang. Haluskan bawang merah, bawang putih, kemiri, lada, jahe, kunyit, dan cabai merah serta cabai rawit. Cuci bersih lobak dan potong dadu. Siapkan 1 buah tomat potong dadu. Geprak serai dan siapkan daun salam, lengkuas, dan daun jeruk. Tumis bumbu halus hingga harum, masukkan serai, daun salam, lengkuas, dan daun jeruk. Kemudian masukkan daging kambing yang telah dipotong, masukkan lobak, tambahkan air dan masak kurang lebih 10 menit. Tambahkan garam, gula, dan tomat potong dadu. Koreksi rasa dan sajikan."
Kambing goreng gurih,"daging kambing, bawang putih, kunyit, ketumbar, jahe, garam, penyedap rasa, air",kambing,Kambing Goreng Gurih,"Haluskan bawang putih, kunyit, ketumbar, dan jahe kemudian tumis hingga harum dan matang. Setelah itu, masukkan daging kambing dan aduk rata. Lalu, tambahkan air dan masak hingga air kering dan daging kecoklatan. Tambahkan garam dan penyedap rasa sesuai selera."
Kambing bumbu rujak 🐐,"daging kambing, bawang merah, kemiri, cabai merah, cabai rawit, serai, daun jeruk, lengkuas, garam",kambing,Kambing Bumbu Rujak,"Potong daging kambing melawan alur serat kemudian rebus hingga empuk dan sisihkan. Haluskan cabai merah, cabai rawit, bawang merah, dan kemiri lalu tumis bumbu halus hingga harum dan matang. Masukkan daging kambing, kaldu, serai, daun jeruk, dan lengkuas kemudian masak dengan api kecil hingga air habis dan bumbui dengan garam."
Tongseng kambing khas solo,"daging kambing, bawang merah, bawang putih, lada, ketumbar, pala, kemiri, kunyit, cabai merah, garam, kecap manis, air, santan, serai, jahe, tomat, kol",kambing,Tongseng Kambing Solo,"Rendam daging kambing dengan air teh kental selama 30-40 menit, kemudian potong daging menjadi kecil. Haluskan bawang merah, bawang putih, kunyit, lada, ketumbar, kemiri, pala, garam, dan cabai merah. Iris cabai rawit dan potong kol. Potong tomat menjadi empat bagian. Tumis bumbu halus, serai, dan jahe hingga harum, lalu masukkan daging kambing. Tambahkan air 300ml dan rebus hingga air menyusut. Masukkan kecap manis dan masak hingga menyusut, setelah itu encerkan santan dengan 200ml air dan rebus hingga daging empuk. Terakhir, masukkan kol dan tomat, masak hingga layu."
Sate kambing simpel & enak,"daging kambing, ketumbar, asam jawa, kecap manis, lada, garam, bawang merah, bawang putih, gula jawa, penyedap rasa, sate, daun selada, tomat",kambing,Sate Kambing,"Haluskan ketumbar, bawang merah, bawang putih, gula jawa, lada, garam, dan asam jawa kemudian masukkan daging kambing dan aduk rata. Diamkan selama 5 menit. Setelah itu, tusuk daging kambing ke sate. Panggang sate sambil diolesi kecap manis hingga matang. Tata daun selada dan tomat di piring, kemudian susun sate di atasnya"
Sate Kambing,"daging kambing, bawang merah, bawang putih, tomat, lada, kecap manis, cabai rawit, garam, arang",kambing,Sate Kambing,"Iris daging kambing menjadi kotak lalu tusuk. Haluskan bawang putih, bawang merah, lada, dan garam. Bakar daging kambing hingga setengah matang, kemudian lumuri dengan bumbu halus sampai merata. Bakar kembali sampai matang. Iris bawang merah, bawang putih, cabai rawit, dan tomat, lalu campurkan dengan kecap manis dan garam."
Tongseng kambing simple,"daging kambing, serai, lengkuas, daun salam, daun jeruk, ketumbar, kecap manis, gula merah, garam, cabai rawit, kol, daun bawang, tomat, santan kental",kambing,Tongseng Kambing,"Rebus daging kambing hingga empuk kemudian haluskan bumbu giling dan tumis bersama serai, lengkuas, daun salam, dan daun jeruk hingga harum. Setelah itu, masukkan daging kambing dan air, didihkan selama 15 menit, tambahkan ketumbar, gula merah, garam, dan kecap manis. Masukkan kol, lalu santan kental, aduk hingga mendidih, dan tambahkan daun bawang, tomat, serta cabai rawit."
Kikil kaki kambing,"kaki kambing, bawang merah, bawang putih, cabai merah, lada, pala, penyedap rasa",kambing,Kikil Kaki Kambing,"Bersihkan kaki kambing dengan dibakar sebentar, kemudian kerik bulunya hingga bersih. Rebus kaki kambing hingga matang, lalu tiriskan dan buang air rebusan pertama. Setelah dingin, cuci kembali, potong, kemudian rebus hingga empuk. Haluskan lada, pala, cabai merah, bawang merah, dan bawang putih, lalu tumis hingga bawang merah dan bawang putih berwarna kuning dan harum. Angkat dan tiriskan, kemudian tumis bumbu yang dihaluskan hingga harum. Haluskan bawang goreng dan tumis bersama cabai merah dan lada hingga harum. Masukkan rebusan kaki kambing beserta kuahnya, tambahkan garam, gula, dan penyedap rasa. Tambahkan cabai kecil dan irisan daun bawang jika suka."
Tongseng Kambing,"daging kambing, wortel, buncis, lengkuas, jahe, serai, daun jeruk, daun bawang, tomat, kecap manis, garam, air, bawang merah, bawang putih, cabai merah",kambing,Tongseng Kambing,"Haluskan bawang merah dan bawang putih kemudian tumis bersama lengkuas, jahe, serai dan daun jeruk hingga harum. Setelah itu, masukkan daging kambing yang telah dipotong kotak dan aduk hingga rata. Tuangkan air kaldu bekas rebusan daging kambing, tunggu hingga mendidih, lalu masukkan wortel dan buncis. Masak hingga sayuran empuk, kemudian bumbui dengan kecap manis, garam dan cabai merah. Sesaat sebelum diangkat, masukkan irisan daun bawang dan tomat."
Tongseng kambing HoT,"daging kambing, kubis, tomat, daun bawang, cabai rawit, bawang merah, kecap manis, kunyit, garam",kambing,Tongseng Kambing,"Cuci bersih daging kambing dan potong kotak, iris bawang merah, cabai rawit, kunyit bubuk, lengkuas, jahe, serai, daun salam, daun jeruk. Kemudian tumis bumbu hingga harum, masukkan daging kambing dan oseng sampai berubah warna. Setelah berubah warna, beri air secukupnya dan masak hingga empuk, tambahkan garam, lada bubuk, gula, dan kecap manis. Lalu masukkan kubis, tomat, dan daun bawang, masak hingga matang"
Kambing TsengWa,"daging kambing, daun bawang, daun seledri, daun jeruk, bawang merah, lada, bawang putih, kemiri, jahe, lengkuas, serai, cabai rawit, santan, gula jawa, garam, kecap manis, penyedap rasa",kambing,Kambing Tsengwa,"Haluskan bawang merah, bawang putih, kemiri, jahe, lengkuas, dan cabai rawit kemudian tumis bersama daun jeruk, serai, daun bawang, dan daun seledri hingga harum. Setelah itu, masukkan daging kambing dan aduk rata hingga bumbu meresap. Tambahkan santan, gula jawa, kecap manis, garam, lada, dan penyedap rasa lalu masak hingga kuah mengental."
Krengsengan Kambing Pedas Super Simpel,"tulang, bawang merah, bawang putih, tomat, bawang bombay, kecap manis, penyedap rasa, lada, cabai rawit, lengkuas",kambing,Krengsengan Kambing Pedas,"Rajang bawang merah, bawang putih, bawang bombay, tomat, dan cabai rawit. Geprek lengkuas. Tumis bumbu yang sudah dirajang hingga harum, kemudian tambahkan air, kecap manis, gula, garam, penyedap rasa, dan lada. Masukkan daging dan tulang kambing, lalu masak hingga asat dan bumbu meresap."
Gulai Kambing Lengkuas,"daging kambing, lengkuas, bawang putih, kunyit, kemiri, cabai, bawang merah, garam, lada, serai, ketumbar, penyedap rasa, santan, air, minyak goreng",kambing,Gulai Kambing Lengkuas,"Haluskan bawang merah, kemiri, ketumbar, dan cabai, tambahkan garam dan lada. Kemudian, cairkan santan bubuk dengan air, sisihkan. Setelah itu, tumis bumbu halus dengan api kecil, masukkan serai hingga harum dan berubah warna. Lalu, tambahkan air dan bumbu bubuk, masak hingga matang dan koreksi rasa. Masukkan daging kambing dan masak hingga empuk, sekitar 15 menit kemudian masukkan santan cair. Tunggu hingga mendidih dan koreksi rasa kembali."
Sop Kambing,"iga sapi, bawang putih, bawang merah, daun bawang, pala, kapulaga, bunga lawang, lada, jahe, air",kambing,Sop Kambing,"Haluskan bawang putih, bawang merah, jahe, dan lada kemudian rebus iga sapi hingga mendidih, buang airnya, dan bilas. Rebus kembali iga sapi dengan bumbu halus, kapulaga, bunga lawang, dan pala hingga empuk. Setelah itu, masukkan irisan daun bawang dan masak sebentar sebelum mematikan api. Taburkan bawang goreng dan sajikan."
Tongseng kambing nyus nyus,"daging kambing, sayur, wortel, kentang, buncis, ubi, bawang bombay, tomat, cabai rawit, daun bawang, bawang putih, bawang merah, cabai merah, kunyit, kemiri, lada, ketumbar, jahe, serai, daun salam, santan",kambing,Tongseng Kambing,"Cuci dan iris daging kambing, campurkan dengan daun pepaya iris kasar, remas dan diamkan selama 30 menit. Rebus daging kambing hingga empuk. Panaskan minyak, tumis bumbu halus, bawang bombay hingga layu, kemudian masukkan wortel, kentang, buncis, ubi, tomat, cabai rawit, daun bawang, daun salam, serai, lada, ketumbar, jahe, dan kunyit. Setelah sayuran matang, masukkan daging kambing beserta kaldunya, tes rasa, lalu masukkan santan dan biarkan mendidih sebelum disajikan."
Tongseng Kambing,"daging kambing, daun salam, lengkuas, serai, cabai rawit, kol, daun bawang, tomat, santan, kecap manis, bawang merah, bawang putih, kemiri, ketumbar, jahe, kunyit, lada, garam",kambing,Tongseng Kambing,"Potong daging kambing sesuai selera. Rebus daging kambing selama 20 menit, buang airnya, kemudian rebus lagi selama 30 menit dan pisahkan daging dengan air kaldu. Sambil menunggu daging empuk, haluskan bawang merah, bawang putih, kemiri, ketumbar, jahe, kunyit, dan lada. Tumis bumbu halus bersama lengkuas, serai, dan daun salam hingga harum. Masukkan daging kambing yang telah direbus, aduk rata dengan bumbu, lalu tambahkan air kaldu dan kecap manis. Masak hingga bumbu meresap, kemudian masukkan kol. Setelah hampir matang, kecilkan api dan masukkan santan, aduk hingga tercampur rata. Tambahkan tomat dan daun bawang sebelum disajikan."
Tongseng Kambing 🐑🐐,"daging kambing, air, bawang merah, bawang putih, kunyit, jahe, lengkuas, kemiri, ketumbar, garam, gula, penyedap rasa, saus, kecap manis, wortel, kentang, tahu, daun seledri, santan",kambing,Tongseng Kambing,"Rebus daging kambing selama 45 menit hingga empuk, kemudian potong dadu. Potong dadu wortel dan kentang, goreng tahu hingga setengah matang, dan iris daun seledri. Haluskan bawang merah, bawang putih, kunyit, jahe, lengkuas, kemiri, dan ketumbar. Tumis bumbu halus hingga harum, masukkan daging kambing, kentang, wortel, dan tahu. Masukkan santan dan sedikit air, lalu masak hingga bumbu meresap dan matang. Tambahkan garam, gula, penyedap rasa, saus, dan kecap manis."
Iga Kambing Dipenyet Sambel,"iga kambing, bawang putih, kemiri, daun salam, gula",kambing,Iga Kambing Dipenyet Sambel,"Haluskan bawang putih dan kemiri kemudian campurkan semua bumbu. Ungkep iga kambing sampai bumbu meresap dan air surut lalu tiriskan. Goreng iga kambing dalam minyak panas, angkat dan penyet dengan ulekan. Sajikan dengan sambal dan lalapan bawang goreng."
KAMBING BBQ sederhana,"daging kambing, bawang bombay, jeruk nipis, bawang merah, bawang putih, garam, margarin, air, saus bbq, saus",kambing,Kambing BBQ Sederhana,"Marinasi daging kambing dengan air perasan jeruk nipis, bawang putih dan garam. Kemudian, panaskan margarin, tumis bawang merah dan bawang bombay hingga harum. Masukkan daging kambing dan masak hingga berubah warna. Tambahkan air, ungkep hingga air berkurang dan daging empuk. Setelah air menyusut, masukkan saus bbq, saus tomat dan saus sambal. Aduk hingga rata."
Kambing Masak Kecap,"daging kambing, bawang putih, daun bawang, cabai rawit, cabai merah, tomat, jahe, lengkuas, serai, daun jeruk, jeruk nipis, kecap manis, air",kambing,Kambing Masak Kecap,"Haluskan bawang putih, jahe, dan lengkuas kemudian tumis bersama serai, daun jeruk, cabai rawit, cabai merah, dan tomat hingga layu. Setelah itu, masukkan air, daging kambing yang sudah direbus, gula, dan penyedap rasa, aduk hingga tercampur rata. Lalu, tambahkan kecap manis dan masak hingga air menyusut. Terakhir, tambahkan perasan jeruk nipis dan aduk rata sebelum disajikan."
Goreng arab kambing/sapi,"daging kambing, bawang merah, bawang putih, serai, kunyit, jahe, daun salam, tomat, cabai rawit, air, kaldu bubuk, garam",kambing,Goreng Arab Kambing Sapi,"Haluskan bawang merah, bawang putih, kunyit, jahe, dan cabai rawit. Kemudian, tumis bumbu halus bersama serai dan daun salam hingga harum. Masukkan daging kambing yang telah direbus hingga empuk dan diiris, tambahkan sedikit air. Setelah air menyusut, masukkan kaldu bubuk dan garam, lalu masak hingga bumbu meresap dan siap disajikan."
Tongseng Kambing,"daging kambing, bawang merah, bawang putih, cabai merah, cabai rawit, tomat, daun bawang, serai, daun salam, kol, margarin, minyak goreng, lada, jintan, kecap manis, garam, air",kambing,Tongseng Kambing,"Potong kecil daging kambing dan rendam dengan irisan buang nanas hingga empuk. Kemudian, tumis bawang merah, bawang putih, cabai merah, cabai rawit, daun salam, dan serai hingga harum. Setelah itu, masukkan daging kambing yang telah direndam dan bumbu rasa gule, tambahkan air, lada, jintan, kecap manis, dan garam. Masak hingga matang dan tambahkan kol serta daun bawang sebelum disajikan."
Sop kambing,"tulang, air, bawang merah, bawang putih, lada, garam, pala, kayu manis, jahe, daun seledri, daun bawang, kaldu bubuk, wortel, kentang, daun kol, daun jeruk, tomat",kambing,Sop Kambing,"Rebus tulang kambing dengan air hingga empuk. Tumis bawang merah, bawang putih, kayu manis, lada, pala, dan jahe hingga harum, kemudian masukkan ke dalam rebusan tulang kambing. Masukkan kentang dan wortel, setelah empuk masukkan kol. Tambahkan garam dan kaldu bubuk, cicipi hingga pas. Masukkan potongan tomat, daun seledri, dan daun bawang, lalu angkat dan sajikan selagi hangat."
Kambing Goreng Super Simpel,"daging kambing, ketumbar, bawang putih, garam, kemiri, serai, kunyit, jahe, kaldu bubuk, air",kambing,Kambing Goreng Simpel,"Potong daging kambing menjadi ukuran 3x3 cm, kemudian lumuri dengan air jeruk nipis dan diamkan sebentar. Haluskan ketumbar, bawang putih, kemiri, kunyit, dan jahe. Masukkan bumbu halus ke dalam panci, tambahkan air secukupnya, serai, dan kaldu bubuk. Rebus hingga mendidih dan koreksi rasa. Setelah rasa pas, pindahkan air rebusan bumbu ke dalam panci presto, masukkan potongan daging kambing, lalu presto selama kurang lebih 1 jam. Setelah matang, keluarkan dari panci presto dan bisa disimpan di kulkas atau langsung digoreng."
TONGSENG SETAN Daging Sapi&Kambing ala Bunda Putri,"bawang putih, bawang merah, kunyit, lengkuas, lada, cabai, daging sapi, serai, ketumbar, garam, minyak goreng",kambing,Tongseng Daging Sapi Kambing,"Haluskan bawang putih, bawang merah, lada, ketumbar, garam, lengkuas, dan kunyit kemudian tumis bumbu halus bersama serai hingga harum lalu masukkan daging sapi dan kambing aduk hingga tercampur bumbu dan tambahkan 1 gelas air masak hingga bumbu meresap dan matang"
Bola Bola Rendang Kambing Hot Spesial in_Cooking,"daging kambing, cabai keriting, cabai rawit, santan, gula, garam, jahe, bawang putih, bawang merah, lada, lengkuas, serai, minyak goreng, air",kambing,Bola Bola Rendang Kambing,"Haluskan bawang putih, bawang merah, jahe, dan kunyit kemudian tumis bersama serai dan lengkuas hingga harum. Masukkan cabai yang sudah dihaluskan dan bola daging kambing, aduk hingga rata. Setelah itu, masukkan santan cair, gula, garam, dan lada bubuk, masak sampai mendidih dan mengental. Kemudian, masukkan santan kental dan aduk hingga mengental dan matang."
Kambing kuah santan,"daging kambing, air, santan, bawang merah, bawang putih, lada, kemiri, minyak goreng, daun jeruk, serai, kapulaga, kayu manis, garam, gula, penyedap rasa, tomat, daun bawang, kerupuk melinjo, bawang goreng, jeruk nipis",kambing,Kambing Kuah Santan,"Rebus daging kambing selama 30 menit, kemudian angkat dan potong sesuai selera, buang air rebusannya. Rebus kembali air hingga mendidih, masukkan potongan daging. Tumis bawang merah, bawang putih, lada, kemiri, daun jeruk, dan serai hingga harum, lalu masukkan ke dalam rebusan air dan daging. Tambahkan kapulaga, kayu manis, santan, garam, gula, dan penyedap rasa. Setelah mendidih, angkat dan potong tomat, iris daun bawang, dan sajikan kambing kuah santan dalam mangkok dengan taburan tomat, daun bawang, bawang goreng, dan perasan jeruk nipis. Hidangkan dengan kerupuk melinjo."
Tong Seng Kambing Smaput,"daging kambing, serai, lengkuas, kapulaga, bawang putih, bawang merah, ketumbar, kunyit, kol, tomat, cabai rawit, garam, lada, penyedap rasa, santan",kambing,Tong Seng Kambing Smaput,"Haluskan bawang putih, bawang merah, ketumbar, dan kunyit kemudian tumis hingga harum. Masukkan serai, lengkuas, dan kapulaga yang sudah dimemarkan, tambahkan sedikit air dan aduk hingga aromanya keluar. Masukkan daging kambing, aduk sampai berubah warna, lalu tambahkan santan encer, garam, lada, dan penyedap rasa. Setelah agak mengental, masukkan irisan kol, tomat, dan cabai rawit, aduk hingga layu dan matang."
Nasi goreng kambing lada hitam,"daging kambing, nasi, bawang putih, cabai rawit, lada, kecap manis, garam, penyedap rasa",kambing,Nasi Goreng Kambing Lada Hitam,"Tumis bawang putih hingga harum, kemudian masukkan irisan cabai rawit dan aduk. Lalu tambahkan kecap manis, lada, garam, penyedap rasa, dan daging kambing. Setelah aromanya keluar, masukkan nasi dan aduk hingga rata dan tercampur bumbu."
Sate Kambing Vs Sate Sapi,"daging kambing, daging sapi, bawang merah, cabai rawit, tomat, kecap manis",kambing,Sate Kambing Sapi,"Iris bawang merah, cabai rawit, dan tomat kemudian campurkan dengan kecap manis. Potong daging kambing dan daging sapi kecil lalu tusuk. Bakar daging hingga setengah matang, lumuri dengan bumbu kecap, kemudian bakar kembali hingga matang. Angkat dan sajikan sate dengan bumbu."
Gulai iga kambing tanpa santan,"tulang, cengkeh, kapulaga, kayumanis, daun salam, serai, lengkuas, air, minyak goreng, bawang merah, bawang putih, kemiri, lada, ketumbar, cabai keriting, jintan, gula, kaldu bubuk, jahe, kunyit",kambing,Gulai Iga Kambing,"Cuci bersih tulang kambing. Haluskan bawang merah, bawang putih, kemiri, lada, ketumbar, jahe, dan kunyit kemudian tumis bersama cengkeh, kapulaga, kayumanis, daun salam, serai, dan lengkuas hingga harum. Masukkan tulang kambing, aduk rata, lalu tambahkan air rebusan dan masak selama 60 menit. Jika air menyusut, tambahkan lagi dan masak terus selama 60 menit hingga matang. Angkat dan sajikan"
Gulai kambing,"daging kambing, daun pepaya, daging sapi, jahe, lengkuas, daun salam, serai, daun jeruk, air, kapulaga, cengkeh, garam, kayu manis, bawang putih, bawang merah, kunyit, lada, kemiri, jintan, pala, ketumbar",kambing,Gulai Kambing,"Cuci bersih daging kambing, bungkus dengan daun pepaya dan diamkan selama 20 menit. Didihkan air, masukkan daging kambing dan bumbu rebusan, masak hingga daging empuk. Angkat daging dengan pencapit atau garpu, potong kecil, dan sisihkan. Tumis bumbu halus dengan minyak hingga harum, masukkan daging kambing dan masak sebentar. Masukkan daging kambing yang sudah bercampur bumbu halus ke dalam panci rebusan daging. Masukkan santan, masak hingga mendidih dan tes rasa. Jika sudah cukup sedap, hidangkan gulai kambing dengan taburan bawang merah goreng."
Bubur Suro Kambing,"beras, air, santan, daging kambing, telur, daun brambang, bawang goreng, cabai, bawang merah, bawang putih, lengkuas, kunyit, jahe, kencur, ketumbar, jintan, mesoyi rempah, daun jeruk, garam",kambing,Bubur Suro Kambing,"Haluskan bawang merah, bawang putih, cabai, lengkuas, kunyit, jahe, kencur, ketumbar, jintan, mesoyi rempah, dan daun jeruk kemudian masukkan ke dalam nasi yang sudah direbus hingga lemes bersama santan, garam, dan daging kambing beserta kaldunya lalu aduk rata hingga menjadi bubur. Goreng telur dan taburi bawang goreng sebelum disajikan."
